specimen,landmark,x,y
LACM ENT 463059_L.jpg,8,553.2532351,240.3733824
LACM ENT 463059_L.jpg,9,581.5031036,231.6811152
LACM ENT 463062_L.jpg,1,811.9349916,265.9287077
LACM ENT 463062_L.jpg,2,765.3073499,317.7371984
LACM ENT 463062_L.jpg,3,640.9669721,366.9552646
LACM ENT 463062_L.jpg,4,607.2914532,400.6307836
LACM ENT 463062_L.jpg,5,480.3606508,403.2212082
LACM ENT 463062_L.jpg,6,467.4085281,421.3541799
LACM ENT 463062_L.jpg,7,594.3393305,265.9287077
LACM ENT 463062_L.jpg,8,581.3872078,188.2159716
LACM ENT 463062_L.jpg,9,602.1106041,159.7213017
LACM ENT 601598_L.jpg,1,843.5907986,181.7993267
LACM ENT 601598_L.jpg,2,834.5015897,254.5129979
LACM ENT 601598_L.jpg,3,692.1039835,336.3158781
LACM ENT 601598_L.jpg,4,673.9255657,375.70245
LACM ENT 601598_L.jpg,5,580.0037404,399.9403404
LACM ENT 601598_L.jpg,6,528.4982233,436.297176
LACM ENT 601598_L.jpg,7,661.8066205,236.3345801
LACM ENT 601598_L.jpg,8,619.3903123,157.5614363
LACM ENT 601598_L.jpg,9,625.4497849,124.234337
LACM ENT 601627_L.jpg,1,753.8035771,506.4309311
LACM ENT 601627_L.jpg,2,693.8951078,550.5740137
LACM ENT 601627_L.jpg,3,545.7004734,519.0432404
LACM ENT 601627_L.jpg,4,504.7104682,528.5024724
LACM ENT 601627_L.jpg,5,429.0366123,481.2063125
LACM ENT 601627_L.jpg,6,365.9750658,474.9001578
LACM ENT 601627_L.jpg,7,589.843556,424.4509206
LACM ENT 601627_L.jpg,8,611.9150973,336.1647554
LACM ENT 601627_L.jpg,9,646.5989479,314.0932141
LACM ENT 601700_L.jpg,1,798.5652814,530.550868
LACM ENT 601700_L.jpg,2,744.7073119,581.0427144
LACM ENT 601700_L.jpg,3,586.4995266,557.4798527
LACM ENT 601700_L.jpg,4,536.0076802,574.3104682
LACM ENT 601700_L.jpg,5,451.8546028,530.550868
LACM ENT 601700_L.jpg,6,374.4337717,520.4524987
LACM ENT 601700_L.jpg,7,620.1607575,446.3977906
LACM ENT 601700_L.jpg,8,640.3574961,355.5124671
LACM ENT 601700_L.jpg,9,667.2864808,331.9496055
LACM ENT 601830_L.jpg,1,819.7062652,273.1574341
LACM ENT 601830_L.jpg,2,786.0307462,332.7371984
LACM ENT 601830_L.jpg,3,633.1956985,371.5935665
LACM ENT 601830_L.jpg,4,612.4723022,402.6786609
LACM ENT 601830_L.jpg,5,529.578717,402.6786609
LACM ENT 601830_L.jpg,6,469.9989527,428.5829063
LACM ENT 601830_L.jpg,7,628.0148494,275.7478586
LACM ENT 601830_L.jpg,8,620.2435758,190.2638489
LACM ENT 601830_L.jpg,9,633.1956985,166.9500281
LACM ENT 706059_L.jpg,1,1157.104919,279.0334767
LACM ENT 706059_L.jpg,2,1108.629138,367.9057415
LACM ENT 706059_L.jpg,3,967.2414438,440.6194128
LACM ENT 706059_L.jpg,4,914.7260146,501.2141388
LACM ENT 706059_L.jpg,5,741.0211333,517.3727324
LACM ENT 706059_L.jpg,6,720.8228913,549.6899196
LACM ENT 706059_L.jpg,7,837.972695,315.3903123
LACM ENT 706059_L.jpg,8,825.8537498,210.3594539
LACM ENT 706059_L.jpg,9,854.1312886,182.0819151
LACM ENT 706072_L.jpg,1,1197.993641,151.9697026
LACM ENT 706072_L.jpg,2,1159.818964,245.2855807
LACM ENT 706072_L.jpg,3,1036.81167,351.3263512
LACM ENT 706072_L.jpg,4,990.1537311,436.1589676
LACM ENT 706072_L.jpg,5,803.5219749,487.0585375
LACM ENT 706072_L.jpg,6,790.7970825,533.7164765
LACM ENT 706072_L.jpg,7,867.1464373,245.2855807
LACM ENT 706072_L.jpg,8,841.6966523,160.4529643
LACM ENT 706072_L.jpg,9,858.6631756,113.7950252
LACM ENT 706073_L.jpg,1,1134.089097,332.3708248
LACM ENT 706073_L.jpg,2,1079.796222,398.2978867
LACM ENT 706073_L.jpg,3,955.6982233,464.2249486
LACM ENT 706073_L.jpg,4,893.6492239,522.3958855
LACM ENT 706073_L.jpg,5,695.8680382,522.3958855
LACM ENT 706073_L.jpg,6,684.2338508,565.0545727
LACM ENT 706073_L.jpg,7,839.3563494,340.1269497
LACM ENT 706073_L.jpg,8,819.966037,243.1753881
LACM ENT 706073_L.jpg,9,854.8685992,208.2728259
LACM ENT 706079_L.jpg,1,1150.619413,237.3648775
LACM ENT 706079_L.jpg,2,1114.717038,317.1479334
LACM ENT 706079_L.jpg,3,975.0966897,404.9092949
LACM ENT 706079_L.jpg,4,935.2051618,472.7248925
LACM ENT 706079_L.jpg,5,751.7041332,504.6381148
LACM ENT 706079_L.jpg,6,735.747522,540.54049
LACM ENT 706079_L.jpg,7,847.4438003,289.2238638
LACM ENT 706079_L.jpg,8,827.4980363,189.4950439
LACM ENT 706079_L.jpg,9,851.4329531,153.5926688
SBMNH ENT0111791_L.jpg,1,814.5273985,225.2234898
SBMNH ENT0111791_L.jpg,2,783.7250795,305.3095194
SBMNH ENT0111791_L.jpg,3,694.3983542,363.8339256
SBMNH ENT0111791_L.jpg,4,657.4355713,410.0374042
SBMNH ENT0111791_L.jpg,5,500.3437442,413.1176361
SBMNH ENT0111791_L.jpg,6,466.4611932,437.7594913
SBMNH ENT0111791_L.jpg,7,580.4297737,256.0258089
SBMNH ENT0111791_L.jpg,8,580.4297737,175.9397793
SBMNH ENT0111791_L.jpg,9,601.991397,138.9769964
SBMNH ENT0111899_L.jpg,1,885.942622,281.6245371
SBMNH ENT0111899_L.jpg,2,859.9272863,197.0746961
SBMNH ENT0111899_L.jpg,3,755.8659435,122.2806059
SBMNH ENT0111899_L.jpg,4,729.8506078,76.75376847
SBMNH ENT0111899_L.jpg,5,557.4990088,60.49418365
SBMNH ENT0111899_L.jpg,6,518.4760052,24.72309706
SBMNH ENT0111899_L.jpg,7,638.7969329,216.5861979
SBMNH ENT0111899_L.jpg,8,629.041182,307.6398728
SBMNH ENT0111899_L.jpg,9,638.7969329,349.9147933
SBMNHENT0116662_L.jpg,1,1624.678362,359.7126239
SBMNHENT0116662_L.jpg,2,1568.931214,476.7816346
SBMNHENT0116662_L.jpg,3,1234.448326,627.298934
SBMNHENT0116662_L.jpg,4,1167.551749,688.6207967
SBMNHENT0116662_L.jpg,5,1000.310305,733.2185151
SBMNHENT0116662_L.jpg,6,994.7355901,761.092089
SBMNHENT0116662_L.jpg,7,1223.298897,465.632205
SBMNHENT0116662_L.jpg,8,1184.275893,354.1379091
SBMNHENT0116662_L.jpg,9,1206.574752,264.9424724
SBMNHENT0116667_L.jpg,1,1448.653712,335.3040584
SBMNHENT0116667_L.jpg,2,1391.831008,433.4523658
SBMNHENT0116667_L.jpg,3,1102.551786,557.4291752
SBMNHENT0116667_L.jpg,4,1045.729082,619.41758
SBMNHENT0116667_L.jpg,5,901.0894707,650.4117823
SBMNHENT0116667_L.jpg,6,890.7580699,660.7431831
SBMNHENT0116667_L.jpg,7,1097.386086,412.7895642
SBMNHENT0116667_L.jpg,8,1061.226183,309.4755564
SBMNHENT0116667_L.jpg,9,1081.888984,237.1557509
UCSB-IZC00009028_L.jpg,1,1318.685992,500.5797644
UCSB-IZC00009028_L.jpg,2,1245.29063,582.6098747
UCSB-IZC00009028_L.jpg,3,925.8049373,612.8314943
UCSB-IZC00009028_L.jpg,4,861.0443239,638.7357397
UCSB-IZC00009028_L.jpg,5,709.9362259,638.7357397
UCSB-IZC00009028_L.jpg,6,701.3014775,643.0531139
UCSB-IZC00009028_L.jpg,7,990.5655508,483.3102674
UCSB-IZC00009028_L.jpg,8,986.2481765,384.0106602
UCSB-IZC00009028_L.jpg,9,1033.739293,319.2500468
UCSB-IZC00012202_L.jpg,1,687.8285394,312.4032916
UCSB-IZC00012202_L.jpg,2,643.8367683,351.5070881
UCSB-IZC00012202_L.jpg,3,555.8532261,385.72291
UCSB-IZC00012202_L.jpg,4,514.3054423,412.6067702
UCSB-IZC00012202_L.jpg,5,387.2181036,393.0548719
UCSB-IZC00012202_L.jpg,6,353.0022817,402.830821
UCSB-IZC00012202_L.jpg,7,492.3095568,285.5194315
UCSB-IZC00012202_L.jpg,8,506.9734805,214.6438003
UCSB-IZC00012202_L.jpg,9,528.969366,182.8719656
UCSB-IZC00012269_L.jpg,1,702.2594352,223.371311
UCSB-IZC00012269_L.jpg,2,661.8124556,279.9970825
UCSB-IZC00012269_L.jpg,3,586.311427,323.1405274
UCSB-IZC00012269_L.jpg,4,556.6503086,358.1945764
UCSB-IZC00012269_L.jpg,5,416.4341126,355.4981111
UCSB-IZC00012269_L.jpg,6,397.5588554,374.3733682
UCSB-IZC00012269_L.jpg,7,513.5068637,242.2465682
UCSB-IZC00012269_L.jpg,8,513.5068637,172.1384702
UCSB-IZC00012269_L.jpg,9,526.9891902,131.6914906
UCSB-IZC00014711_L.jpg,1,1913.815074,569.659323
UCSB-IZC00014711_L.jpg,2,1820.923359,689.091528
UCSB-IZC00014711_L.jpg,3,1515.707724,828.4291004
UCSB-IZC00014711_L.jpg,4,1495.802356,868.2398354
UCSB-IZC00014711_L.jpg,5,1356.464784,894.7803254
UCSB-IZC00014711_L.jpg,6,1316.654049,921.3208154
UCSB-IZC00014711_L.jpg,7,1436.086254,602.8349355
UCSB-IZC00014711_L.jpg,8,1469.261866,490.037853
UCSB-IZC00014711_L.jpg,9,1515.707724,397.146138
UCSB-IZC00022003_L.jpg,1,453.8558653,257.1835876
UCSB-IZC00022003_L.jpg,2,424.1714887,285.3056286
UCSB-IZC00022003_L.jpg,3,349.1793793,296.2419779
UCSB-IZC00022003_L.jpg,4,328.8690163,305.6159916
UCSB-IZC00022003_L.jpg,5,255.4392425,264.9952656
UCSB-IZC00022003_L.jpg,6,202.3198317,272.8069437
UCSB-IZC00022003_L.jpg,7,342.9300368,196.2524987
UCSB-IZC00022003_L.jpg,8,350.7417149,161.8811152
UCSB-IZC00022003_L.jpg,9,371.0520779,147.8200947
UCSB-IZC00023252_L.jpg,1,359.3725408,56.89447659
UCSB-IZC00023252_L.jpg,2,370.0532351,82.26112572
UCSB-IZC00023252_L.jpg,3,339.3462388,163.7014203
UCSB-IZC00023252_L.jpg,4,339.3462388,186.3978958
UCSB-IZC00023252_L.jpg,5,267.2515518,234.4610205
UCSB-IZC00023252_L.jpg,6,256.5708574,277.183798
UCSB-IZC00023252_L.jpg,7,264.5813782,130.3242504
UCSB-IZC00023252_L.jpg,8,235.2094687,95.61199369
UCSB-IZC00023252_L.jpg,9,228.5340347,75.58569174
UCSB-IZC00025001_L.jpg,1,360.1429774,227.9077328
UCSB-IZC00025001_L.jpg,2,318.8973172,245.0934245
UCSB-IZC00025001_L.jpg,3,236.4059968,238.2191478
UCSB-IZC00025001_L.jpg,4,215.7831668,238.2191478
UCSB-IZC00025001_L.jpg,5,155.6332457,191.8177801
UCSB-IZC00025001_L.jpg,6,104.0761704,191.8177801
UCSB-IZC00025001_L.jpg,7,258.7473961,155.7278275
UCSB-IZC00025001_L.jpg,8,277.651657,119.6378748
UCSB-IZC00025001_L.jpg,9,298.2744871,104.1707522
UCSB-IZC00030694_L.jpg,1,925.0525528,94.1243688
UCSB-IZC00030694_L.jpg,2,954.1380213,181.3807743
UCSB-IZC00030694_L.jpg,3,826.8890967,308.6296989
UCSB-IZC00030694_L.jpg,4,815.982046,348.6222181
UCSB-IZC00030694_L.jpg,5,670.5547036,399.5217879
UCSB-IZC00030694_L.jpg,6,608.748083,464.964092
UCSB-IZC00030694_L.jpg,7,674.1903871,188.6521414
UCSB-IZC00030694_L.jpg,8,648.7406022,119.5741537
UCSB-IZC00030694_L.jpg,9,656.0119693,75.945951
UCSB-IZC00030767_L.jpg,1,947.6590986,210.0902188
UCSB-IZC00030767_L.jpg,2,951.3402282,302.1184589
UCSB-IZC00030767_L.jpg,3,796.7327847,394.1466991
UCSB-IZC00030767_L.jpg,4,774.6460071,427.2768655
UCSB-IZC00030767_L.jpg,5,623.7196933,438.3202543
UCSB-IZC00030767_L.jpg,6,553.7782308,486.1749392
UCSB-IZC00030767_L.jpg,7,686.2988966,239.5392557
UCSB-IZC00030767_L.jpg,8,678.9366374,162.2355339
UCSB-IZC00030767_L.jpg,9,697.3422854,132.7864971
UCSB-IZC00031295_L.jpg,1,641.5092057,176.1872699
UCSB-IZC00031295_L.jpg,2,666.4355602,264.8143083
UCSB-IZC00031295_L.jpg,3,635.9700158,364.5197265
UCSB-IZC00031295_L.jpg,4,633.2004208,428.2204103
UCSB-IZC00031295_L.jpg,5,511.338243,533.4650184
UCSB-IZC00031295_L.jpg,6,508.5686481,575.0089427
UCSB-IZC00031295_L.jpg,7,491.9510784,350.6717517
UCSB-IZC00031295_L.jpg,8,433.7895844,289.7406628
UCSB-IZC00031295_L.jpg,9,414.4024198,245.4271436
UCSB-IZC00035381_L.jpg,1,1766.265345,574.6889097
UCSB-IZC00035381_L.jpg,2,1700.94423,711.2694221
UCSB-IZC00035381_L.jpg,3,1451.536338,824.0968019
UCSB-IZC00035381_L.jpg,4,1404.030073,889.4179166
UCSB-IZC00035381_L.jpg,5,1184.313596,895.3561997
UCSB-IZC00035381_L.jpg,6,1118.992482,936.9241818
UCSB-IZC00035381_L.jpg,7,1398.09179,604.3803254
UCSB-IZC00035381_L.jpg,8,1338.708958,455.9232467
UCSB-IZC00035381_L.jpg,9,1368.400374,360.9107163
UCSB-IZC00035941_L.jpg,1,583.9011034,123.4694969
UCSB-IZC00035941_L.jpg,2,577.1750888,179.5196185
UCSB-IZC00035941_L.jpg,3,507.6729381,237.8117449
UCSB-IZC00035941_L.jpg,4,494.2209089,264.7158033
UCSB-IZC00035941_L.jpg,5,400.0567047,278.1678324
UCSB-IZC00035941_L.jpg,6,357.4586123,311.7979054
UCSB-IZC00035941_L.jpg,7,424.7187582,148.1315504
UCSB-IZC00035941_L.jpg,8,411.266729,101.0494483
UCSB-IZC00035941_L.jpg,9,422.4767533,76.3873948
UCSB-IZC00035942_L.jpg,1,1615.742959,203.861455
UCSB-IZC00035942_L.jpg,2,1603.704806,348.3192818
UCSB-IZC00035942_L.jpg,3,1423.132523,540.9297176
UCSB-IZC00035942_L.jpg,4,1405.075295,613.158631
UCSB-IZC00035942_L.jpg,5,1212.464859,709.4638489
UCSB-IZC00035942_L.jpg,6,1164.31225,787.7118384
UCSB-IZC00035942_L.jpg,7,1290.712848,372.3955863
UCSB-IZC00035942_L.jpg,8,1182.369478,252.014064
UCSB-IZC00035942_L.jpg,9,1170.331326,161.7279222
UCSB-IZC00035979_L.jpg,1,1644.765289,179.6955302
UCSB-IZC00035979_L.jpg,2,1632.646344,325.1228726
UCSB-IZC00035979_L.jpg,3,1462.981111,519.0259959
UCSB-IZC00035979_L.jpg,4,1438.74322,597.7991397
UCSB-IZC00035979_L.jpg,5,1244.840097,682.6317561
UCSB-IZC00035979_L.jpg,6,1208.483262,785.6427903
UCSB-IZC00035979_L.jpg,7,1323.613241,349.360763
UCSB-IZC00035979_L.jpg,8,1214.542734,240.2902562
UCSB-IZC00035979_L.jpg,9,1202.423789,143.3386946
UCSB-IZC00036103_L.jpg,1,452.0709931,146.6983729
UCSB-IZC00036103_L.jpg,2,423.5763232,179.6922012
UCSB-IZC00036103_L.jpg,3,357.5886665,209.6865906
UCSB-IZC00036103_L.jpg,4,336.592594,226.1835048
UCSB-IZC00036103_L.jpg,5,255.6077427,209.6865906
UCSB-IZC00036103_L.jpg,6,206.1170002,227.6832242
UCSB-IZC00036103_L.jpg,7,326.0945577,130.2014588
UCSB-IZC00036103_L.jpg,8,321.5953993,89.7090331
UCSB-IZC00036103_L.jpg,9,330.5937161,70.21268001
UCSB-IZC00036128_L.jpg,1,1666.087152,512.6859921
UCSB-IZC00036128_L.jpg,2,1595.797269,629.8357958
UCSB-IZC00036128_L.jpg,3,1373.212643,746.9855994
UCSB-IZC00036128_L.jpg,4,1332.210211,799.703011
UCSB-IZC00036128_L.jpg,5,1150.628016,811.4179914
UCSB-IZC00036128_L.jpg,6,1068.623153,869.9928932
UCSB-IZC00036128_L.jpg,7,1314.637741,541.9734431
UCSB-IZC00036128_L.jpg,8,1261.920329,407.2511689
UCSB-IZC00036128_L.jpg,9,1279.4928,325.2463063
UCSB-IZC00036306_L.jpg,1,932.9345801,171.9166635
UCSB-IZC00036306_L.jpg,2,951.3402282,256.5826445
UCSB-IZC00036306_L.jpg,3,800.4139143,370.6976622
UCSB-IZC00036306_L.jpg,4,789.3705255,400.1466991
UCSB-IZC00036306_L.jpg,5,645.8064709,425.9146063
UCSB-IZC00036306_L.jpg,6,572.1838788,492.1749392
UCSB-IZC00036306_L.jpg,7,678.9366374,230.8147372
UCSB-IZC00036306_L.jpg,8,660.5309893,160.8732747
UCSB-IZC00036306_L.jpg,9,682.617767,116.6997195
UCSB-IZC00036678_L.jpg,1,419.9425565,227.9908469
UCSB-IZC00036678_L.jpg,2,385.2587059,253.2154655
UCSB-IZC00036678_L.jpg,3,304.8552341,262.6746975
UCSB-IZC00036678_L.jpg,4,276.4775381,267.4043135
UCSB-IZC00036678_L.jpg,5,213.4159916,231.1439243
UCSB-IZC00036678_L.jpg,6,164.543293,240.6031562
UCSB-IZC00036678_L.jpg,7,309.5848501,182.2712257
UCSB-IZC00036678_L.jpg,8,314.3144661,142.8577591
UCSB-IZC00036678_L.jpg,9,333.23293,125.5158338
UCSB-IZC00037026_L.jpg,1,1576.797008,153.8132037
UCSB-IZC00037026_L.jpg,2,1570.878923,301.7653264
UCSB-IZC00037026_L.jpg,3,1405.172545,508.8982981
UCSB-IZC00037026_L.jpg,4,1393.336376,585.8334019
UCSB-IZC00037026_L.jpg,5,1209.875743,674.6046755
UCSB-IZC00037026_L.jpg,6,1186.203404,763.3759491
UCSB-IZC00037026_L.jpg,7,1269.056592,337.2738358
UCSB-IZC00037026_L.jpg,8,1144.776809,236.6663924
UCSB-IZC00037026_L.jpg,9,1132.94064,136.0589489
UCSB-IZC00037256_L.jpg,1,816.7423976,140.1014027
UCSB-IZC00037256_L.jpg,2,858.3709744,216.4204601
UCSB-IZC00037256_L.jpg,3,750.8304844,358.6514307
UCSB-IZC00037256_L.jpg,4,750.8304844,403.7490555
UCSB-IZC00037256_L.jpg,5,612.0685618,476.5990649
UCSB-IZC00037256_L.jpg,6,577.3780812,549.4490742
UCSB-IZC00037256_L.jpg,7,584.3161773,268.456181
UCSB-IZC00037256_L.jpg,8,553.0947447,209.4823639
UCSB-IZC00037256_L.jpg,9,560.0328408,171.3228352
UCSB-IZC00037404_L.jpg,1,378.4017885,259.5216202
UCSB-IZC00037404_L.jpg,2,351.6006312,280.0166228
UCSB-IZC00037404_L.jpg,3,282.23293,276.8635455
UCSB-IZC00037404_L.jpg,4,266.4675434,283.1697002
UCSB-IZC00037404_L.jpg,5,203.4059968,240.6031562
UCSB-IZC00037404_L.jpg,6,159.2629143,242.1796949
UCSB-IZC00037404_L.jpg,7,293.2687007,190.153919
UCSB-IZC00037404_L.jpg,8,302.7279327,161.776223
UCSB-IZC00037404_L.jpg,9,318.4933193,155.4700684
UCSB-IZC00037538_L.jpg,1,381.4943707,53.25730316
UCSB-IZC00037538_L.jpg,2,380.2925753,90.51296054
UCSB-IZC00037538_L.jpg,3,334.6243501,140.9883673
UCSB-IZC00037538_L.jpg,4,331.0189639,159.0152983
UCSB-IZC00037538_L.jpg,5,260.1130353,178.2440247
UCSB-IZC00037538_L.jpg,6,238.4807182,207.0871143
UCSB-IZC00037538_L.jpg,7,278.1399663,84.50398354
UCSB-IZC00037538_L.jpg,8,261.3148307,59.26628016
UCSB-IZC00037538_L.jpg,9,267.3238077,37.63396297
UCSB-IZC00038958_L.jpg,1,351.9833772,211.9962125
UCSB-IZC00038958_L.jpg,2,326.9860074,238.2434508
UCSB-IZC00038958_L.jpg,3,259.4931089,248.2423987
UCSB-IZC00038958_L.jpg,4,243.2448185,254.4917412
UCSB-IZC00038958_L.jpg,5,177.0017885,228.2445029
UCSB-IZC00038958_L.jpg,6,138.2558653,236.9935823
UCSB-IZC00038958_L.jpg,7,250.7440295,164.5012099
UCSB-IZC00038958_L.jpg,8,258.2432404,133.2544976
UCSB-IZC00038958_L.jpg,9,274.4915308,120.7558127
UCSB-IZC00038961_L.jpg,1,352.7498036,155.073574
UCSB-IZC00038961_L.jpg,2,333.2988966,178.8469048
UCSB-IZC00038961_L.jpg,3,279.2685992,195.055994
UCSB-IZC00038961_L.jpg,4,261.9789041,204.7814475
UCSB-IZC00038961_L.jpg,5,200.3843651,186.4111464
UCSB-IZC00038961_L.jpg,6,164.7243688,197.2172059
UCSB-IZC00038961_L.jpg,7,258.7370862,126.9778193
UCSB-IZC00038961_L.jpg,8,263.05951,98.88206471
UCSB-IZC00038961_L.jpg,9,272.7849635,86.99539929
UCSB-IZC00038983_L.jpg,1,378.6338769,203.5618096
UCSB-IZC00038983_L.jpg,2,352.0741715,226.499737
UCSB-IZC00038983_L.jpg,3,288.0894266,236.1578117
UCSB-IZC00038983_L.jpg,4,269.9805366,245.8158864
UCSB-IZC00038983_L.jpg,5,209.6175697,216.8416623
UCSB-IZC00038983_L.jpg,6,167.3634929,222.877959
UCSB-IZC00038983_L.jpg,7,283.2603893,155.2714361
UCSB-IZC00038983_L.jpg,8,291.7112046,126.297212
UCSB-IZC00038983_L.jpg,9,306.1983167,120.2609153
UCSB-IZC00039393_L.jpg,1,836.358257,151.9594539
UCSB-IZC00039393_L.jpg,2,821.2853189,218.2803815
UCSB-IZC00039393_L.jpg,3,703.7164017,308.7180101
UCSB-IZC00039393_L.jpg,4,685.628876,347.9076491
UCSB-IZC00039393_L.jpg,5,586.1474846,378.0535253
UCSB-IZC00039393_L.jpg,6,537.9140827,423.2723396
UCSB-IZC00039393_L.jpg,7,646.439237,215.2657939
UCSB-IZC00039393_L.jpg,8,610.2641855,139.9011034
UCSB-IZC00039393_L.jpg,9,607.2495979,106.7406396
UCSB-IZC00041397_L.jpg,1,423.2694371,215.6898474
UCSB-IZC00041397_L.jpg,2,384.3956865,190.3374014
UCSB-IZC00041397_L.jpg,3,298.1973698,183.5767491
UCSB-IZC00041397_L.jpg,4,277.9154129,175.1259337
UCSB-IZC00041397_L.jpg,5,198.4777486,225.8308259
UCSB-IZC00041397_L.jpg,6,149.4630195,220.7603367
UCSB-IZC00041397_L.jpg,7,310.0285113,271.4652288
UCSB-IZC00041397_L.jpg,8,325.239979,310.3389795
UCSB-IZC00041397_L.jpg,9,343.8317728,327.2406102
UCSB-IZC00041624_L.jpg,1,915.5592669,383.1643538
UCSB-IZC00041624_L.jpg,2,883.5955489,472.6627642
UCSB-IZC00041624_L.jpg,3,714.1878437,514.2155975
UCSB-IZC00041624_L.jpg,4,691.8132411,533.3938283
UCSB-IZC00041624_L.jpg,5,541.5837666,504.6264821
UCSB-IZC00041624_L.jpg,6,455.2817281,523.8047129
UCSB-IZC00041624_L.jpg,7,656.6531513,328.8260333
UCSB-IZC00041624_L.jpg,8,675.8313821,258.5058537
UCSB-IZC00041624_L.jpg,9,701.4023565,229.7385076
UCSB-IZC00042055_L.jpg,1,586.2586871,184.6724144
UCSB-IZC00042055_L.jpg,2,569.5345427,239.0258837
UCSB-IZC00042055_L.jpg,3,479.6422667,274.5646905
UCSB-IZC00042055_L.jpg,4,465.0086404,295.469871
UCSB-IZC00042055_L.jpg,5,370.9353282,289.1983168
UCSB-IZC00042055_L.jpg,6,324.9439312,308.0129792
UCSB-IZC00042055_L.jpg,7,425.2887975,172.1293062
UCSB-IZC00042055_L.jpg,8,421.1077614,128.2284272
UCSB-IZC00042055_L.jpg,9,433.6508696,98.96117449
UCSB-IZC00043073_L.jpg,1,477.4381896,106.8144754
UCSB-IZC00043073_L.jpg,2,501.0701328,163.9250047
UCSB-IZC00043073_L.jpg,3,449.8675893,246.6368057
UCSB-IZC00043073_L.jpg,4,447.8982607,278.1460632
UCSB-IZC00043073_L.jpg,5,367.1557883,325.4099495
UCSB-IZC00043073_L.jpg,6,353.3704881,380.5511502
UCSB-IZC00043073_L.jpg,7,343.5238451,197.4035908
UCSB-IZC00043073_L.jpg,8,312.0145876,163.9250047
UCSB-IZC00043073_L.jpg,9,306.1066018,134.3850757
UCSB-IZC00043095_L.jpg,1,1328.059099,260.6689733
UCSB-IZC00043095_L.jpg,2,1281.85562,357.6962783
UCSB-IZC00043095_L.jpg,3,1000.014401,505.5474098
UCSB-IZC00043095_L.jpg,4,958.4312699,560.9915841
UCSB-IZC00043095_L.jpg,5,824.441182,616.4357584
UCSB-IZC00043095_L.jpg,6,819.8208341,630.2968019
UCSB-IZC00043095_L.jpg,7,1004.634748,362.3166261
UCSB-IZC00043095_L.jpg,8,967.6719656,274.5300168
UCSB-IZC00043095_L.jpg,9,990.7737049,200.6044511
UCSB-IZC00044727_L.jpg,1,550.5674958,79.27058163
UCSB-IZC00044727_L.jpg,2,556.5209276,130.8669908
UCSB-IZC00044727_L.jpg,3,485.0797457,196.354741
UCSB-IZC00044727_L.jpg,4,477.1418365,226.1219001
UCSB-IZC00044727_L.jpg,5,377.9179727,249.9356275
UCSB-IZC00044727_L.jpg,1,548.215667,77.9374049
UCSB-IZC00044727_L.jpg,2,558.064377,135.059922
UCSB-IZC00044727_L.jpg,3,485.183924,198.091665
UCSB-IZC00044727_L.jpg,4,473.365472,227.637795
UCSB-IZC00044727_L.jpg,5,376.848116,251.274698
UCSB-IZC00044727_L.jpg,6,339.423018,292.63928
UCSB-IZC00044727_L.jpg,7,394.575794,121.271728
UCSB-IZC00044727_L.jpg,8,378.817858,77.9374049
UCSB-IZC00044727_L.jpg,9,380.7876,50.3610173
UCSB-IZC00046379_L.jpg,1,1178.58433,412.308483
